TaskID,Instructions,Memory_MB,Input_MB,Output_MB
Task_22962,592,634,168,30
Task_22963,1538,173,132,52
Task_22964,1567,197,192,128
Task_22965,2078,865,81,166
Task_22966,2041,857,80,180
Task_22967,1542,532,81,77
Task_22968,2047,433,99,175
Task_22969,2819,582,53,96
Task_22970,2081,676,15,113
Task_22971,1210,149,35,107
Task_22972,1074,852,82,45
Task_22973,2171,215,99,153
Task_22974,1407,562,134,91
Task_22975,1613,163,199,109
Task_22976,586,849,177,30
Task_22977,1446,962,192,49
Task_22978,1148,740,15,62
Task_22979,2244,280,133,19
Task_22980,551,310,23,13
Task_22981,2386,746,65,193
Task_22982,1365,601,140,35
Task_22983,1325,197,30,87
Task_22984,1261,881,21,64
Task_22985,1153,522,33,18
Task_22986,2480,725,197,76
Task_22987,2964,793,64,144
Task_22988,1216,118,97,63
Task_22989,2662,441,156,159
Task_22990,1525,364,121,87
Task_22991,2196,517,115,190
Task_22992,723,297,190,95
Task_22993,1918,215,148,191
Task_22994,1518,183,69,169
Task_22995,2719,279,104,77
Task_22996,2496,242,15,52
Task_22997,2775,282,123,103
Task_22998,866,512,15,196
Task_22999,839,322,14,114
Task_23000,1935,781,21,74
Task_23001,755,587,55,104
Task_23002,1053,453,37,27
Task_23003,2920,126,22,143
Task_23004,859,397,126,33
Task_23005,2886,183,75,192
Task_23006,2100,733,113,181
Task_23007,2343,166,32,164
Task_23008,2345,767,71,14
Task_23009,1144,404,38,24
Task_23010,1479,118,118,134
Task_23011,834,583,107,60
Task_23012,2972,410,178,153
Task_23013,2494,212,120,127
Task_23014,983,969,175,103
Task_23015,2607,580,175,166
Task_23016,2626,955,136,109
Task_23017,2109,76,149,35
Task_23018,2272,330,110,45
Task_23019,1155,1014,83,118
Task_23020,649,349,25,46
Task_23021,2749,650,80,106
Task_23022,555,467,46,194
Task_23023,2238,1024,194,18
Task_23024,989,972,102,100
Task_23025,1906,450,14,104
Task_23026,2139,211,54,97
Task_23027,2798,437,172,136
Task_23028,2647,921,80,160
Task_23029,2155,522,185,80
Task_23030,2827,897,161,113
Task_23031,1905,492,133,67
Task_23032,561,882,186,181
Task_23033,1358,354,83,161
Task_23034,2863,460,58,117
Task_23035,957,373,191,29
Task_23036,750,966,192,130
Task_23037,644,674,96,85
Task_23038,2917,568,12,13
Task_23039,1716,969,65,133
Task_23040,2323,313,133,94
Task_23041,1805,304,38,35
Task_23042,1835,776,127,60
Task_23043,1933,945,155,85
Task_23044,2695,556,152,18
Task_23045,2039,559,119,83
Task_23046,610,546,30,177
Task_23047,2111,574,126,97
Task_23048,1120,988,154,23
Task_23049,2685,957,146,17
Task_23050,800,952,109,149
Task_23051,696,727,113,48
Task_23052,1887,177,99,71
Task_23053,2379,607,172,188
Task_23054,1885,606,169,144
Task_23055,1226,761,182,84
Task_23056,2245,895,200,196
Task_23057,1253,621,137,28
Task_23058,761,741,165,163
Task_23059,1206,826,150,97
Task_23060,1461,871,103,36
Task_23061,1645,840,106,100
Task_23062,2856,458,76,68
Task_23063,1291,815,140,60
Task_23064,1063,984,81,50
Task_23065,1917,279,172,184
Task_23066,590,146,30,162
Task_23067,1998,136,14,58
Task_23068,2632,731,73,152
Task_23069,1349,551,33,53
Task_23070,1163,678,52,65
Task_23071,1530,687,89,187
Task_23072,740,624,191,42
Task_23073,2716,720,85,173
Task_23074,1849,399,37,64
Task_23075,1998,1007,119,67
Task_23076,2384,143,176,24
Task_23077,504,472,151,192
Task_23078,2331,807,127,177
Task_23079,2533,947,79,63
Task_23080,504,1004,164,73
Task_23081,1405,571,118,41
Task_23082,2259,346,80,14
Task_23083,1625,103,185,59
Task_23084,2953,185,106,200
Task_23085,2483,760,193,26
Task_23086,1017,625,188,128
Task_23087,2182,297,29,87
Task_23088,1985,751,23,78
Task_23089,1205,529,72,105
Task_23090,2909,305,12,35
Task_23091,1621,945,108,53
Task_23092,650,912,14,58
Task_23093,2736,910,88,17
Task_23094,2256,720,89,61
Task_23095,529,763,106,125
Task_23096,1138,988,64,109
Task_23097,1137,910,95,59
Task_23098,1617,681,166,73
Task_23099,2143,329,168,72
Task_23100,1487,98,137,65
Task_23101,2411,105,165,195
Task_23102,2604,257,168,40
Task_23103,1226,1008,19,51
Task_23104,695,913,89,37
Task_23105,1024,598,80,68
Task_23106,2510,589,156,60
Task_23107,2110,316,10,122
Task_23108,1118,693,124,138
Task_23109,2840,256,83,176
Task_23110,1246,939,119,103
Task_23111,1920,254,133,197
Task_23112,725,352,74,88
Task_23113,1102,890,199,193
Task_23114,1774,891,103,67
Task_23115,1305,403,127,99
Task_23116,1601,307,141,120
Task_23117,900,669,89,87
Task_23118,1039,893,144,105
Task_23119,1172,309,125,54
Task_23120,2229,678,62,58
Task_23121,1258,123,28,35
Task_23122,2112,998,148,151
Task_23123,2731,212,134,198
Task_23124,2477,136,72,106
Task_23125,2769,889,60,138
Task_23126,2001,192,89,24
Task_23127,1879,484,89,26
Task_23128,1314,915,123,195
Task_23129,2416,880,101,136
Task_23130,887,350,11,118
Task_23131,2712,402,52,181
Task_23132,1163,199,193,154
Task_23133,1036,473,140,197
Task_23134,2227,964,184,184
Task_23135,1193,854,36,48
Task_23136,1441,961,11,15
Task_23137,2522,186,97,130
Task_23138,1953,767,61,181
Task_23139,1263,484,23,129
Task_23140,2665,549,60,131
Task_23141,2724,899,130,12
Task_23142,1263,386,110,41
Task_23143,1948,76,107,28
Task_23144,1218,201,143,105
Task_23145,2188,80,14,32
Task_23146,1182,923,85,158
Task_23147,2705,468,67,113
Task_23148,1098,654,80,163
Task_23149,652,769,50,81
Task_23150,916,416,150,51
Task_23151,593,850,102,74
Task_23152,2785,791,89,157
Task_23153,2445,368,141,115
Task_23154,682,989,45,102
Task_23155,1527,483,73,169
Task_23156,534,222,196,142
Task_23157,713,309,93,186
Task_23158,1002,705,47,95
Task_23159,1627,488,14,121
Task_23160,741,893,111,89
Task_23161,2134,546,148,169
Task_23162,1702,355,59,128
Task_23163,1018,375,184,50
Task_23164,2664,208,49,144
Task_23165,2508,820,29,83
Task_23166,2540,392,118,19
Task_23167,1027,824,58,81
Task_23168,1665,411,62,69
Task_23169,2421,728,189,167
Task_23170,1239,77,145,69
Task_23171,2144,758,26,178
Task_23172,1266,791,129,117
Task_23173,861,815,44,183
Task_23174,873,809,16,22
Task_23175,1208,979,182,147
Task_23176,1665,323,35,87
Task_23177,949,360,156,88
Task_23178,2322,169,10,121
Task_23179,2676,303,30,156
Task_23180,1003,764,32,151
Task_23181,726,467,42,40
Task_23182,1267,884,16,162
Task_23183,2450,183,53,188
Task_23184,2040,150,97,108
Task_23185,605,692,64,181
Task_23186,2996,327,29,48
Task_23187,1579,511,185,139
Task_23188,534,820,112,141
Task_23189,2955,707,184,108
Task_23190,1901,559,17,82
Task_23191,864,1024,165,130
Task_23192,2966,66,157,14
Task_23193,2928,722,46,25
Task_23194,1498,209,42,108
Task_23195,1148,215,196,66
Task_23196,2427,99,107,84
Task_23197,963,437,110,83
Task_23198,1842,385,162,43
Task_23199,2834,534,47,174
Task_23200,2776,85,41,56
Task_23201,1142,842,40,177
Task_23202,2631,898,13,185
Task_23203,1903,335,188,173
Task_23204,2417,896,76,20
Task_23205,759,298,40,94
Task_23206,1434,309,27,166
Task_23207,984,813,86,39
Task_23208,2796,840,196,18
Task_23209,2823,913,16,54
Task_23210,2797,156,86,130
Task_23211,2739,237,196,93
Task_23212,2954,537,198,68
Task_23213,1854,875,13,199
Task_23214,2644,139,124,82
Task_23215,1633,828,22,145
Task_23216,2746,697,138,35
Task_23217,2176,227,174,188
Task_23218,1272,553,54,68
Task_23219,1323,766,10,177
Task_23220,1073,183,65,61
Task_23221,1566,933,105,37
Task_23222,1839,66,102,168
Task_23223,1264,1019,178,156
Task_23224,1712,970,17,51
Task_23225,1973,926,130,165
Task_23226,2630,73,165,185
Task_23227,2250,644,147,74
Task_23228,601,632,19,86
Task_23229,2680,136,34,133
Task_23230,2513,294,98,157
Task_23231,1990,551,134,108
Task_23232,2185,530,168,103
Task_23233,2584,537,44,183
Task_23234,2877,977,82,144
Task_23235,2954,773,108,191
Task_23236,1147,265,64,135
Task_23237,2004,405,159,156
Task_23238,2948,562,10,182
Task_23239,1036,919,168,66
Task_23240,2154,125,50,52
Task_23241,669,461,72,152
Task_23242,1777,940,33,136
Task_23243,2365,454,132,27
Task_23244,1433,924,30,71
Task_23245,2303,975,141,169
Task_23246,1319,704,76,65
Task_23247,1705,656,163,56
Task_23248,2791,297,29,37
Task_23249,2472,866,147,166
Task_23250,1363,518,48,141
Task_23251,2338,773,106,85
Task_23252,1935,331,103,51
Task_23253,2594,584,31,42
Task_23254,749,88,17,47
Task_23255,867,547,162,97
Task_23256,1669,427,48,76
Task_23257,1768,783,132,129
Task_23258,642,790,30,179
Task_23259,1809,324,31,155
Task_23260,1835,297,127,166
Task_23261,1849,717,56,131
Task_23262,1786,698,24,23
Task_23263,2943,911,64,149
Task_23264,1580,826,137,65
Task_23265,2418,905,181,60
Task_23266,1497,572,160,177
Task_23267,1233,556,42,173
Task_23268,2802,780,36,22
Task_23269,1051,621,114,48
Task_23270,2343,933,49,89
Task_23271,2884,910,42,129
Task_23272,2391,232,153,178
Task_23273,567,483,101,30
Task_23274,764,398,23,142
Task_23275,2250,579,184,15
Task_23276,2070,379,55,126
Task_23277,1142,892,195,194
Task_23278,2562,908,17,35
Task_23279,686,697,192,172
Task_23280,986,737,83,125
Task_23281,1464,754,139,120
Task_23282,1022,265,133,172
Task_23283,2625,301,136,165
Task_23284,2350,198,79,101
Task_23285,1843,65,33,127
Task_23286,2130,105,192,175
Task_23287,2366,521,145,50
Task_23288,1766,435,120,167
Task_23289,915,781,155,192
Task_23290,2567,244,192,58
Task_23291,1432,244,110,89
Task_23292,1054,744,119,114
Task_23293,1371,310,47,194
Task_23294,2536,509,64,45
Task_23295,2470,918,81,199
Task_23296,2715,389,71,75
Task_23297,1361,450,87,55
Task_23298,1556,938,116,117
Task_23299,2003,502,108,70
Task_23300,1328,643,24,169
Task_23301,1999,900,132,98
Task_23302,1759,758,48,76
Task_23303,581,281,126,34
Task_23304,2033,157,88,200
Task_23305,2588,680,171,62
Task_23306,1880,193,27,147
Task_23307,2602,861,159,142
Task_23308,2409,779,42,103
Task_23309,1534,619,59,111
Task_23310,1416,361,172,166
Task_23311,1823,452,53,157
Task_23312,2846,498,156,34
Task_23313,2061,128,81,182
Task_23314,701,1017,141,93
Task_23315,2391,497,131,74
Task_23316,1796,1014,44,37
Task_23317,653,549,172,91
Task_23318,1329,758,42,164
Task_23319,1374,944,130,167
Task_23320,954,937,105,78
Task_23321,2400,204,89,90
Task_23322,2691,708,194,20
Task_23323,2629,692,150,30
Task_23324,1741,466,153,185
Task_23325,1117,951,196,26
Task_23326,1552,480,54,138
Task_23327,2988,702,160,102
Task_23328,685,715,199,86
Task_23329,961,915,58,129
Task_23330,2953,99,112,187
Task_23331,615,405,73,129
Task_23332,2547,181,171,19
Task_23333,2372,608,187,100
Task_23334,1830,715,36,116
Task_23335,1503,504,155,68
Task_23336,1281,894,165,193
Task_23337,1575,332,107,98
Task_23338,1151,791,116,120
Task_23339,1424,480,85,46
Task_23340,2692,406,22,27
Task_23341,1519,194,92,17
Task_23342,996,859,112,142
Task_23343,1881,309,91,12
Task_23344,1368,723,143,33
Task_23345,894,896,145,41
Task_23346,1814,784,150,97
Task_23347,2337,691,71,83
Task_23348,763,948,78,108
Task_23349,1682,999,29,122
Task_23350,1332,208,181,104
Task_23351,2224,544,176,190
Task_23352,1492,234,29,198
Task_23353,1870,450,121,46
Task_23354,842,558,31,81
Task_23355,2583,141,132,87
Task_23356,1719,764,20,26
Task_23357,1233,693,132,45
Task_23358,2835,892,163,164
Task_23359,807,322,66,88
Task_23360,2213,560,86,98
Task_23361,1874,358,143,86
Task_23362,694,996,191,140
Task_23363,807,869,69,41
Task_23364,2443,126,107,163
Task_23365,1402,404,143,188
Task_23366,2451,779,18,168
Task_23367,2127,877,66,111
Task_23368,2772,239,49,25
Task_23369,2931,812,145,191
Task_23370,1779,542,175,164
Task_23371,2788,278,76,44
Task_23372,1642,776,108,26
Task_23373,2281,509,186,180
Task_23374,751,914,113,119
Task_23375,1921,377,82,112
Task_23376,2821,611,197,147
Task_23377,1589,723,160,177
Task_23378,2531,591,88,194
Task_23379,1922,330,81,143
Task_23380,1549,538,47,21
Task_23381,2183,263,170,18
Task_23382,1026,684,197,86
Task_23383,1229,312,11,181
Task_23384,2225,153,64,102
Task_23385,922,185,53,75
Task_23386,673,716,139,153
Task_23387,2455,817,186,51
Task_23388,1432,769,99,15
Task_23389,2898,187,45,29
Task_23390,854,474,179,178
Task_23391,1932,315,72,164
Task_23392,1426,468,68,174
Task_23393,2147,688,63,174
Task_23394,680,106,174,97
Task_23395,2970,163,185,133
Task_23396,2941,527,199,127
Task_23397,815,809,133,156
Task_23398,1080,371,136,173
Task_23399,1306,989,185,190
Task_23400,2372,733,13,101
Task_23401,889,420,55,192
Task_23402,2436,93,116,166
Task_23403,2627,423,34,31
Task_23404,2247,100,27,48
Task_23405,1446,64,185,54
Task_23406,2252,707,172,145
Task_23407,579,128,136,139
Task_23408,2512,549,35,171
Task_23409,561,360,144,17
Task_23410,1053,781,101,63
Task_23411,2664,327,159,82
Task_23412,1525,383,198,189
Task_23413,2292,767,181,141
Task_23414,1002,676,188,35
Task_23415,2484,201,156,177
Task_23416,1862,741,146,166
Task_23417,2882,432,74,88
Task_23418,2939,738,20,183
Task_23419,639,489,57,121
Task_23420,2228,363,116,144
Task_23421,1619,607,43,96
Task_23422,1357,230,174,41
Task_23423,2831,425,144,51
Task_23424,642,773,51,28
Task_23425,505,737,11,26
Task_23426,2991,395,27,57
Task_23427,2430,912,59,107
Task_23428,2688,527,33,68
Task_23429,605,565,86,102
Task_23430,1004,957,184,149
Task_23431,1066,201,163,103
Task_23432,2458,783,165,33
Task_23433,1810,963,137,14
Task_23434,528,560,164,91
Task_23435,2003,314,131,181
Task_23436,2534,430,86,195
Task_23437,1354,752,137,12
Task_23438,2478,420,176,176
Task_23439,2353,701,99,67
Task_23440,581,389,86,114
Task_23441,2788,821,150,21
Task_23442,1401,94,108,64
Task_23443,1410,617,146,30
Task_23444,1435,594,194,43
Task_23445,806,839,200,131
Task_23446,1815,844,65,73
Task_23447,1133,529,152,138
Task_23448,2264,468,152,102
Task_23449,1078,889,22,108
Task_23450,1278,452,97,147
Task_23451,1063,162,119,188
Task_23452,2137,802,187,137
Task_23453,516,730,68,175
Task_23454,2127,381,168,48
Task_23455,1219,735,90,144
Task_23456,1140,148,99,102
Task_23457,2121,970,91,41
Task_23458,2650,950,122,98
Task_23459,2748,921,149,91
Task_23460,2835,532,166,57
Task_23461,2313,861,146,115
Task_23462,2128,427,189,38
Task_23463,2370,163,27,13
Task_23464,2695,144,114,161
Task_23465,2445,240,65,35
Task_23466,2999,576,76,33
Task_23467,2897,463,122,85
Task_23468,1356,382,10,183
Task_23469,2340,973,37,22
Task_23470,2096,644,167,178
Task_23471,876,378,35,13
Task_23472,2779,611,165,98
Task_23473,2589,838,22,25
Task_23474,1684,936,135,162
Task_23475,1115,910,61,25
Task_23476,1161,455,88,154
Task_23477,964,702,76,176
Task_23478,2288,268,70,162
Task_23479,1656,66,48,116
Task_23480,1718,1014,142,44
Task_23481,2139,166,136,194
Task_23482,2998,321,18,152
Task_23483,1460,629,116,169
Task_23484,1654,645,40,150
Task_23485,1092,309,10,182
Task_23486,1276,831,155,93
Task_23487,1848,770,126,53
Task_23488,1459,821,53,111
Task_23489,1907,936,65,31
Task_23490,2925,1018,12,181
Task_23491,1479,879,27,142
Task_23492,2822,917,19,39
Task_23493,2322,383,160,166
Task_23494,1750,286,51,102
Task_23495,906,824,183,51
Task_23496,815,655,73,107
Task_23497,731,379,55,62
Task_23498,2090,224,56,86
Task_23499,1490,422,69,91
Task_23500,1672,885,136,76
Task_23501,1017,458,178,113
Task_23502,1232,660,48,132
Task_23503,2207,893,97,54
Task_23504,1246,274,134,127
Task_23505,1909,391,56,120
Task_23506,2395,875,140,143
Task_23507,1632,765,186,51
Task_23508,514,335,65,12
Task_23509,1229,938,92,27
Task_23510,2768,274,121,151
Task_23511,1151,477,31,44
Task_23512,724,636,22,135
Task_23513,1753,1016,39,165
Task_23514,2351,729,45,22
Task_23515,1655,232,158,65
Task_23516,2023,64,102,164
Task_23517,1514,992,71,166
Task_23518,523,727,28,25
Task_23519,2279,846,22,22
Task_23520,663,870,75,80
Task_23521,2789,77,128,117
Task_23522,1102,1009,176,18
Task_23523,964,150,157,101
Task_23524,1148,626,55,92
Task_23525,2622,288,119,30
Task_23526,2847,999,108,24
Task_23527,2877,392,175,190
Task_23528,905,137,132,61
Task_23529,1566,909,30,35
Task_23530,1133,282,175,96
Task_23531,1444,181,95,71
Task_23532,1328,470,188,199
Task_23533,1064,493,196,185
Task_23534,2768,395,164,77
Task_23535,603,934,76,181
Task_23536,2794,636,56,133
Task_23537,1101,724,100,185
Task_23538,2180,580,46,191
Task_23539,2989,343,34,129
Task_23540,2510,388,160,141
Task_23541,1070,254,25,11
Task_23542,931,1006,36,51
Task_23543,2611,783,103,128
Task_23544,2778,664,168,134
Task_23545,2972,162,193,152
Task_23546,1319,635,19,10
Task_23547,1834,802,160,121
Task_23548,1010,243,148,106
Task_23549,2411,994,56,88
Task_23550,977,95,156,165
Task_23551,1159,534,116,197
Task_23552,1629,831,130,167
Task_23553,1497,679,82,133
Task_23554,1761,608,182,137
Task_23555,1613,93,113,78
Task_23556,1170,725,173,27
Task_23557,1599,267,67,158
Task_23558,2359,581,98,148
Task_23559,762,1001,38,38
Task_23560,1687,278,105,24
Task_23561,2590,161,105,137
Task_23562,2831,116,91,47
Task_23563,2176,935,131,172
Task_23564,1333,431,89,109
Task_23565,1493,458,57,122
Task_23566,610,625,76,186
Task_23567,1810,795,198,35
Task_23568,2183,439,33,45
Task_23569,2213,348,35,188
Task_23570,1126,178,89,34
Task_23571,1165,633,72,198
Task_23572,1654,377,145,124
Task_23573,1738,247,11,148
Task_23574,2549,500,63,45
Task_23575,708,256,164,164
Task_23576,2642,577,156,51
Task_23577,1972,791,71,160
Task_23578,2893,869,84,138
Task_23579,844,573,33,164
Task_23580,1193,957,197,13
Task_23581,2630,878,90,71
Task_23582,1414,199,159,119
Task_23583,1522,644,185,198
Task_23584,1831,797,121,58
Task_23585,1832,354,23,80
Task_23586,2568,900,46,62
Task_23587,2675,185,74,187
Task_23588,1862,767,157,154
Task_23589,2323,797,76,93
Task_23590,1960,461,96,104
Task_23591,1623,235,66,157
Task_23592,2289,744,33,67
Task_23593,2469,620,71,96
Task_23594,2536,395,64,19
Task_23595,2149,868,162,77
Task_23596,1655,436,158,178
Task_23597,2443,191,189,70
Task_23598,2979,126,136,159
Task_23599,1332,470,151,132
Task_23600,2919,272,107,193
Task_23601,2255,396,160,127
Task_23602,1543,840,33,155
Task_23603,1385,209,14,151
Task_23604,2224,306,146,160
Task_23605,2057,878,178,155
Task_23606,2275,648,168,80
Task_23607,2575,402,27,55
Task_23608,2139,494,172,69
Task_23609,1351,293,85,177
Task_23610,1855,906,83,167
Task_23611,1966,221,17,84
Task_23612,743,932,182,152
Task_23613,2543,732,85,86
Task_23614,1567,703,80,16
Task_23615,1547,567,143,84
Task_23616,1616,834,37,170
Task_23617,2961,327,176,152
Task_23618,2547,347,114,17
Task_23619,535,423,166,53
Task_23620,1117,693,169,184
Task_23621,815,913,198,102
Task_23622,1351,980,124,17
Task_23623,2861,218,15,46
Task_23624,543,663,183,103
Task_23625,1677,177,71,142
Task_23626,1529,832,184,23
Task_23627,2150,990,55,151
Task_23628,1984,483,56,61
Task_23629,954,957,173,186
Task_23630,682,895,14,180
Task_23631,2720,835,29,115
Task_23632,513,952,93,15
Task_23633,1490,683,76,96
Task_23634,1245,760,30,180
Task_23635,1384,847,194,83
Task_23636,1541,770,77,84
Task_23637,1697,645,135,37
Task_23638,1921,142,168,156
Task_23639,1088,868,135,48
Task_23640,924,416,123,121
Task_23641,903,308,91,48
Task_23642,562,784,179,35
Task_23643,1183,106,167,95
Task_23644,1694,768,119,14
Task_23645,2306,880,200,153
Task_23646,2895,73,53,183
Task_23647,2855,746,32,97
Task_23648,2484,267,93,122
Task_23649,2690,697,98,93
Task_23650,2862,222,52,199
Task_23651,1983,704,162,141
Task_23652,1518,123,58,143
Task_23653,1836,512,102,55
Task_23654,1531,414,45,43
Task_23655,515,308,121,145
Task_23656,1253,850,148,115
Task_23657,768,738,191,18
Task_23658,2809,380,136,25
Task_23659,1068,878,84,129
Task_23660,2524,942,44,22
Task_23661,1753,285,80,130
Task_23662,2906,870,72,160
Task_23663,859,194,13,61
Task_23664,778,204,31,168
Task_23665,1711,620,109,31
Task_23666,1819,907,47,45
Task_23667,2201,221,126,199
Task_23668,766,704,29,101
Task_23669,1955,650,70,101
Task_23670,1247,216,94,20
Task_23671,640,141,177,139
Task_23672,2273,312,31,150
Task_23673,895,917,113,179
Task_23674,2222,387,71,143
Task_23675,2986,171,72,146
Task_23676,740,682,78,194
Task_23677,2658,77,95,143
Task_23678,1875,214,57,167
Task_23679,1277,231,147,92
Task_23680,2879,553,157,76
Task_23681,749,610,122,187
Task_23682,2608,373,141,156
Task_23683,2501,140,41,73
Task_23684,1117,906,22,55
Task_23685,2171,956,107,47
Task_23686,588,778,185,191
Task_23687,2538,957,141,75
Task_23688,1982,695,141,151
Task_23689,1170,602,12,59
Task_23690,1866,905,196,185
Task_23691,1682,73,75,14
Task_23692,2275,615,10,59
Task_23693,529,1000,128,133
Task_23694,2987,1020,109,72
Task_23695,2736,853,66,50
Task_23696,604,1022,45,40
Task_23697,2033,249,69,16
Task_23698,1927,686,28,97
Task_23699,1457,777,81,190
Task_23700,669,890,193,119
Task_23701,1545,606,108,183
Task_23702,1237,686,121,55
Task_23703,2937,691,18,124
Task_23704,1357,270,133,46
Task_23705,2855,175,119,100
Task_23706,1677,606,63,144
Task_23707,1133,545,104,155
Task_23708,2506,113,183,13
Task_23709,692,854,177,67
Task_23710,778,528,21,142
Task_23711,2655,372,98,137
Task_23712,1460,137,81,185
Task_23713,2075,242,179,196
Task_23714,2075,226,32,31
Task_23715,2041,272,145,60
Task_23716,1721,536,168,124
Task_23717,1402,488,51,41
Task_23718,1972,552,113,56
Task_23719,2070,514,151,82
Task_23720,1332,709,158,165
Task_23721,959,240,172,76
Task_23722,2468,706,90,29
Task_23723,1431,601,63,100
Task_23724,2307,622,114,45
Task_23725,2225,341,102,65
Task_23726,1699,257,14,90
Task_23727,727,700,187,57
Task_23728,1241,287,53,75
Task_23729,2156,622,119,176
Task_23730,573,1020,19,62
Task_23731,1632,725,29,118
Task_23732,2419,96,32,152
Task_23733,2372,186,72,89
Task_23734,2379,309,11,97
Task_23735,2758,170,30,172
Task_23736,1027,744,138,98
Task_23737,2854,207,172,163
Task_23738,1186,497,34,37
Task_23739,1945,751,179,163
Task_23740,2829,440,113,155
Task_23741,636,143,68,137
Task_23742,948,672,48,100
Task_23743,1104,774,15,200
Task_23744,2888,1003,39,33
Task_23745,2582,389,179,106
Task_23746,1052,741,156,87
Task_23747,809,598,19,137
Task_23748,2180,308,178,172
Task_23749,2700,227,182,163
Task_23750,2782,433,103,45
Task_23751,737,954,57,88
Task_23752,2226,1021,170,181
Task_23753,643,965,159,96
Task_23754,2434,432,66,47
Task_23755,711,473,135,79
Task_23756,1549,430,160,146
Task_23757,1802,338,50,114
Task_23758,533,594,164,54
Task_23759,882,688,40,165
Task_23760,1580,176,173,27
Task_23761,662,983,136,67
Task_23762,2887,490,14,40
Task_23763,855,774,13,25
Task_23764,855,884,180,134
Task_23765,2809,796,96,71
Task_23766,2949,714,145,10
Task_23767,1257,873,95,42
Task_23768,2599,835,10,162
Task_23769,2280,175,162,39
Task_23770,1208,146,162,54
Task_23771,2584,522,183,61
Task_23772,2049,795,123,184
Task_23773,2141,440,174,134
Task_23774,1095,117,186,99
Task_23775,2300,111,76,18
Task_23776,1100,605,116,131
Task_23777,2460,232,158,45
Task_23778,2084,184,71,68
Task_23779,2548,773,21,23
Task_23780,1646,495,101,17
Task_23781,1094,332,196,73
Task_23782,2038,540,172,78
Task_23783,1916,94,76,116
Task_23784,2687,767,68,160
Task_23785,1438,149,64,164
Task_23786,1928,125,174,145
Task_23787,1140,211,44,177
Task_23788,2565,87,126,46
Task_23789,2541,713,195,138
Task_23790,2477,253,167,13
Task_23791,1206,472,60,109
Task_23792,1430,458,29,183
Task_23793,787,66,40,35
Task_23794,909,604,14,134
Task_23795,1173,729,80,57
Task_23796,2775,996,179,65
Task_23797,991,193,133,63
Task_23798,2293,574,86,75
Task_23799,1735,142,46,109
Task_23800,1625,86,98,42
Task_23801,1125,878,45,185
Task_23802,1179,549,59,182
Task_23803,1823,235,110,60
Task_23804,776,772,163,38
Task_23805,1053,634,124,91
Task_23806,555,380,116,61
Task_23807,1766,943,96,40
Task_23808,2605,970,95,109
Task_23809,1943,232,32,32
Task_23810,1273,888,19,73
Task_23811,2812,729,47,157
Task_23812,2883,441,107,78
Task_23813,1766,392,145,28
Task_23814,1480,561,102,109
Task_23815,1518,569,142,194
Task_23816,1623,909,29,12
Task_23817,1056,890,67,34
Task_23818,1729,489,83,75
Task_23819,1348,400,14,114
Task_23820,2339,360,91,177
Task_23821,1809,73,78,171
Task_23822,2799,636,90,156
Task_23823,2433,552,61,120
Task_23824,2311,506,183,102
Task_23825,1208,425,154,77
Task_23826,1869,980,20,81
Task_23827,1844,838,175,132
Task_23828,2718,654,51,131
Task_23829,587,610,137,113
Task_23830,1602,336,108,116
Task_23831,2919,949,17,199
Task_23832,1187,342,48,192
Task_23833,1268,176,148,91
Task_23834,2792,928,177,76
Task_23835,846,127,165,183
Task_23836,682,841,69,68
Task_23837,2708,988,67,20
Task_23838,2597,730,153,172
Task_23839,644,916,125,154
Task_23840,2248,416,126,172
Task_23841,2091,596,197,131
Task_23842,1549,646,41,73
Task_23843,2252,844,181,157
Task_23844,526,792,84,78
Task_23845,817,660,199,18
Task_23846,1327,594,20,159
Task_23847,1285,883,61,156
Task_23848,2105,324,57,117
Task_23849,1987,654,116,119
Task_23850,1519,899,43,157
Task_23851,2765,369,200,82
Task_23852,548,751,89,92
Task_23853,1843,352,108,114
Task_23854,2326,759,113,77
Task_23855,1309,902,195,21
Task_23856,720,782,56,14
Task_23857,1820,336,10,116
Task_23858,1465,932,78,37
Task_23859,2614,93,64,134
Task_23860,1238,678,137,16
Task_23861,1581,661,41,16
Task_23862,2202,824,146,24
Task_23863,2247,212,21,118
Task_23864,2668,496,52,106
Task_23865,2249,738,85,37
Task_23866,782,102,19,28
Task_23867,1517,142,83,59
Task_23868,2780,999,63,182
Task_23869,2694,103,154,44
Task_23870,2682,207,67,84
Task_23871,1487,836,136,13
Task_23872,1500,316,50,12
Task_23873,580,167,174,112
Task_23874,948,381,111,21
Task_23875,2401,462,118,57
Task_23876,1872,535,138,112
Task_23877,1061,95,47,83
Task_23878,1080,968,130,143
Task_23879,2049,593,175,59
Task_23880,2150,271,28,71
Task_23881,2269,525,199,68
Task_23882,660,83,188,12
Task_23883,2883,709,31,196
Task_23884,2860,918,157,94
Task_23885,538,680,25,72
Task_23886,732,337,185,92
Task_23887,1382,656,89,34
Task_23888,1421,788,36,147
Task_23889,2019,958,42,50
Task_23890,2149,628,113,199
Task_23891,1992,86,146,105
Task_23892,696,228,105,190
Task_23893,1060,626,47,32
Task_23894,1333,603,32,105
Task_23895,1647,343,175,151
Task_23896,1535,270,11,153
Task_23897,2055,183,95,104
Task_23898,1210,904,190,105
Task_23899,2160,746,33,178
Task_23900,701,1019,55,193
Task_23901,2650,538,175,15
Task_23902,1756,490,148,145
